r0             0x13                19
r1             0x0                 0
r2             0x0                 0
r3             0x3                 3
r4             0x20041de8          537140712
r5             0x1000d398          268489624
r6             0x1000d394          268489620
r7             0x1000d32c          268489516
r8             0xffffffff          -1
r9             0xffffffff          -1
r10            0xffffffff          -1
r11            0xffffffff          -1
r12            0x2000022d          536871469
sp             0x20041de0          0x20041de0
lr             0x10000a83          268438147
pc             0x1000042c          0x1000042c <assignment_2B_rehost>
xpsr           0x61000000          1627389952
msp            0x20041de0          0x20041de0
psp            0xfffffffc          0xfffffffc
primask        0x0                 0
basepri        0x0                 0
faultmask      0x0                 0
control        0x0                 0
